City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
390,kavieng,-2.5744,150.7967,29.15,72,98,2.27,PG,1728962150
391,kita,13.0349,-9.4895,23.18,88,96,1.79,ML,1728962151
392,almazan,41.4865,-2.5309,15.58,84,100,2.33,ES,1728962152
393,tocopilla,-22.092,-70.1979,18.06,75,17,0.23,CL,1728961942
394,muroto-misakicho,33.2833,134.15,25.68,62,97,5.13,JP,1728962156
395,burang,30.25,81.1667,3.3,51,3,0.34,CN,1728961932
396,aasiaat,68.7098,-52.8699,-4.78,95,80,2.25,GL,1728962158
397,saint-joseph,-21.3667,55.6167,22.21,79,34,4.03,RE,1728962109
398,port moresby,-9.4431,147.1797,27.38,75,45,3.87,PG,1728961922
399,taro,-8.3862,115.28,30.37,45,100,2.97,ID,1728962163
400,mabamba,-3.5983,30.5019,20.43,58,93,0.76,TZ,1728962164
401,linxia chengguanzhen,35.6003,103.2064,13.86,59,5,1.42,CN,1728962166
402,dassun,17.7204,121.6816,29.21,73,97,2.31,PH,1728962167
403,razole,16.4833,81.8333,25.69,96,100,1.91,IN,1728962168
404,mil'kovo,55.6078,37.7956,1.84,64,100,2.72,RU,1728962169
405,east london,-33.0153,27.9116,11.52,87,75,1.03,ZA,1728962171
406,embi,48.8264,58.1442,-2.6,70,2,4.33,KZ,1728962172
407,almodovar del campo,38.7094,-4.1791,17.39,82,99,2.84,ES,1728962173
408,ormara,25.2088,64.6357,28.64,61,99,2.13,PK,1728962174
409,milan,45.4643,9.1895,15.92,90,75,1.03,IT,1728962109
410,keflavik,64.0049,-22.5624,4.24,87,0,5.14,IS,1728962176
411,tidjikja,18.5564,-11.4271,31.3,28,100,1.91,MR,1728962177
412,kyaikkami,16.08,97.5675,28.05,80,76,2.03,MM,1728962179
413,dalhart,36.0595,-102.5133,18.01,27,0,5.66,US,1728962180
414,boyolangu,-8.1181,111.8935,29.46,60,100,4.79,ID,1728962181
415,sabang,5.8933,95.3214,27.93,74,100,8.48,ID,1728962182
416,nagykanizsa,46.4535,16.991,7.77,93,44,1.39,HU,1728962183
417,tocache,-8.1842,-76.5125,21.66,76,63,0.72,PE,1728962184
418,vilyuysk,63.7553,121.6247,-4.57,87,100,3.99,RU,1728962185
419,tambura,5.6,27.4667,19.35,98,16,1.84,SS,1728962187
420,berdigestyakh,62.0989,126.6992,-5.65,76,98,3.18,RU,1728962188
421,dobresti,46.85,22.3,10.03,62,79,2.4,RO,1728962189
